stock,price_to_earnings,g,price_to_book,return_on_equity,book_to_market,price_to_cash_flow,dividend_yield,beta,price_to_sales,payout_ratio,dividend,earnings_per_share,price,firme,market_cap,revenue,shares_outstanding,employees,sector,indices
CVO,9.06,0.0294,0.67,0.0719,89.24,172.72,0.0801,1.17,5.08,0.6517000000000001,4.8,6.61,61.9,Covivio SA (CVO),5.64B,1.73B,94205224,995,Opérations immobilières,cac mid 60
DANO,19.78,0.073,2.31,0.1165,25.17,32.25,0.0361,0.68,1.61,0.7191,2.1,2.95,58.4,Danone SA (DANO),36.73B,37.44B,648871267,102449,Transformation alimentaire,cac 40
DAST,52.05,0.0972,7.86,0.102,20.37,46.01,0.0044,0.69,9.83,0.3521,0.7,2.34,121.65,Dassault Systemes SE (DAST),33.21B,5.89B,259461643,19361,Logiciels et programmation,cac 40
DBV,24.78,0.0254,0.81,-0.9415,4.09,41.39,0.0352,1.36,13.38,0.436,1.43,-3.41,3.42,DBV Technologies SA (DBV),182.29M,20.7M,54874086,311,Biotechnologie et médicaments,cac mid 60
EDEN,38.25,0.0413,1.51,0.0642,-5.28,36.99,0.0167,0.74,6.7,1.0,0.7,1.1,42.43,Edenred SA (EDEN),10.32B,2.32B,245817083,8861,Publicité,cac next 20
EDF,16.19,-0.1778,0.6,0.0361,14.48,39.4,0.0173,0.78,0.39,0.6289,0.33,0.54,8.79,Electricité de France SA (EDF),26.85B,106.03B,3098738148,161522,Fournisseurs d'électricité,cac next 20
ELIOR,18.88,-0.1161,0.45,0.026099999999999998,9.42,0.55,0.0677,1.24,0.16,1.2938,0.29,0.23,4.36,Elior Group (ELIOR),727.67M,4.78B,169856718,110162,Restauration,cac mid 60
ELIS,46.78,0.0753,0.89,0.0202,12.4,9.56,0.0236,1.38,0.8,1.4407,1.43,0.23,11.09,Elis Services SA (ELIS),2.43B,4.63B,221179748,49868,Services aux entreprises,cac mid 60
ENGIE,28.86,-0.0906,0.94,-0.0382,12.76,39.4,0.08039999999999999,1.07,0.53,0.436,0.8,0.32,9.36,Engie SA (ENGIE),22.66B,86.84B,2413131292,171000,Fournisseurs d'électricité,cac 40
ENX,24.6,0.0384,7.87,0.3383,12.99,59.44,0.0155,0.64,8.79,0.3817,1.59,4.16,98.1,Euronext (ENX),7.14B,1.23B,69767375,1236,Services d'investissement,cac mid 60
EPED,382.48,0.1304,1.39,-0.051100000000000007,26.05,20.32,0.0187,2.03,0.33,0.436,1.3,-1.38,37.63,Faurecia (EPED),4.96B,23.94B,136904807,104672,Pièces automobiles et de camions,cac next 20
ERMT,16.5,0.0318,0.92,-0.6684,28.61,22.02,0.02645,1.24,0.2,0.436,1.43,-29.08,26.8,Eramet SA (ERMT),695.09M,5.36B,26459441,12600,Exploitation des métaux,cac mid 60
ESLX,44.3,0.1413,1.44,-0.0003,77.34,32.36,0.0087,0.78,3.29,0.436,2.04,2.44,108.15,EssilorLuxottica SA (ESLX),46.01B,36.97B,436779219,150616,Matériel médical et fournitures,cac 40
ETL,6.85,-0.0973,1.51,0.0642,2.04,8.42,0.1013,0.79,1.6,0.0,0.89,1.28,9.12,Eutelsat Communications SA (ETL),2.02B,2.58B,230150705,1001,Services de communication,cac mid 60
EUFI,36.38,0.1993,3.7,0.11349999999999999,180.59,62.95,0.0043,0.79,2.69,0.1782,3.45,18.39,661.4,Eurofins Scientific SE (EUFI),12.7B,6.89B,18984199,43476,Biotechnologie et médicaments,cac next 20
EURA,6.94,0.2588,0.75,-0.09380000000000001,60.0,33.33,0.0222,1.09,0.86,0.436,1.5,-6.31,47.36,Eurazeo (EURA),3.14B,6.48B,75807044,29124,Misc. Financial Services,cac mid 60
EXHO,13.83,0.06509999999999999,2.25,0.1677,28.14,20.11,0.045700000000000005,0.97,0.41,0.6333,2.9,4.58,66.64,Sodexo SA (EXHO),9.24B,22.6B,145633621,470000,Restauration,cac next 20
FDJ,69.88,0.0318,11.42,0.16329999999999997,2.8,315.25,0.0141,1.03,3.29,2.3799,0.45,0.46,31.09,La Francaise Des Jeux Sa (FDJ),6.12B,2.8B,191000000,2622,Casinos et jeux,cac mid 60
FNAC,14.81,-0.145,0.82,0.0623,47.63,1.98,0.0168,1.43,0.15,0.0,1.5,2.64,37.82,Groupe FNAC (FNAC),1.04B,10.01B,26502673,21693,Détaillants (spécialisés),cac mid 60
FOUG,17.28,0.0196,1.45,0.0866,51.87,10.6,0.0341,1.13,0.44,0.6426000000000001,2.8,4.34,75.46,Eiffage SA (FOUG),7.33B,25.83B,97781980,72213,Services de construction,cac next 20
FTI,15.76,0.2371,0.69,-0.7981999999999999,9.22,17.66,0.08199999999999999,2.17,0.21,0.436,0.48,-12.93,6.34,TechnipFMC PLC (FTI),2.72B,13.35B,449408233,37000,Oil Well Services & Equipment,cac next 20
GEPH,9.48,0.2013,0.44,-0.0582,1.55,1.14,0.0859,2.74,0.47,0.436,1.43,-0.1,0.716,CGG SA (GEPH),488.82M,27.31M,711323839,4564,Puits de pétrole - services et équipement,cac mid 60
GETP,314.59,0.16399999999999998,4.7,0.020099999999999996,2.56,41.63,0.0192,0.92,7.1,7.477,0.41,0.04,12.23,Getlink SE (GETP),6.47B,1.45B,537893064,3539,Sociétés ferroviaires,cac next 20
GFCP,7.79,0.0145,0.64,0.085,172.11,107.46,0.0478,0.82,12.47,0.4085,5.3,14.23,113.6,Gecina SA (GFCP),8.14B,1.01B,73504700,504,Opérations immobilières,cac next 20
GNFT,24.78,0.0254,1.78,-1.2408,2.16,41.39,0.0352,0.94,3.66,0.436,1.43,-1.97,4.01,Genfit SA (GNFT),149.84M,40.96M,38858617,175,Biotechnologie et médicaments,cac mid 60
GTT,15.63,0.0691,12.48,0.9568000000000001,6.8,27.77,0.0501,0.77,8.52,0.7789,4.25,5.43,84.55,GTT (GTT),3.15B,492M,37069230,381,Puits de pétrole - services et équipement,cac mid 60
HRMS,42.43,0.0666,12.52,0.1832,60.61,71.33,0.006,0.61,13.16,0.4275,4.55,14.55,617.2,Hermès International SCA (HRMS),65.25B,10B,104207783,15417,Vêtements / accessoires,cac 40
ICAD,13.72,0.0008,1.24,0.0908,38.67,107.46,0.08349999999999999,0.74,2.44,0.4571,4.01,3.5,51.4,Icade (ICAD),3.55B,2.14B,73932200,1127,Opérations immobilières,cac mid 60
ILD,5.26,0.8079000000000001,1.79,0.41090000000000004,94.59,191.66,0.0154,0.17,1.82,0.08259999999999999,2.6,32.15,168.55,Iliad (ILD),9.87B,8.12B,58390539,11083,Services de communication,cac mid 60
IMTP,32.82,-0.0275,0.94,0.026699999999999998,35.6,93.68,0.0513,1.5,0.71,2.087,1.72,1.02,34.38,Imerys SA (IMTP),2.83B,6.25B,84474296,15023,Construction - matières premières,cac mid 60
INGC,44.5,0.2292,3.95,0.0984,36.47,34.84,0.0119,0.93,2.91,0.0,1.2,3.24,142.0,Ingenico Group SA (INGC),8.99B,4.77B,62418073,8669,Matériel informatique,cac next 20
IPN,24.78,0.0557,4.15,-0.0255,22.35,29.49,0.0108,1.0,2.88,0.436,1.0,-0.6,94.1,Ipsen SA (IPN),7.72B,4B,83095833,5807,Biotechnologie et médicaments,cac mid 60
ISOS,11.29,-0.191,0.92,0.08560000000000001,23.6,10.07,0.0207,1.07,0.51,0.4466,0.45,1.93,21.65,Ipsos (ISOS),956.14M,2.79B,43960255,18417,Services aux entreprises,cac mid 60
