firme,price,market_cap,price_to_earnings,beta,earnings_per_share,dividend,shares_outstanding,sector,employees,revenue,indices
Rexel (RXL),11.48,3.32B,N/A,1.78, - 1.32,0.48,302.353.101,Instruments et commandes électroniques,22908,19.79B
Robertet (ROBF),1.022,2.36B,44.58,0.34,22.97,5.00,2.308.095,Produits personnels et ménagers,1940,554.27M
Rubis SCA (RUBF),38.7,3.72B,23.33,0.83,1.54,1.75,103.520.893,Activités pétrolières et gazières,3519,7.14B
SEB SA (SEBF),140.1,6.99B,24.9,1,5.62,1.43,49.939.417,Appareils et outils,33293,10.27B
SES SA (SESFd),6.27,2.79B,16.83,1.1,0.36,0.34,558.590.436,Services de communication,2159,2.94B
Société BIC SA (BICP),47.82,2.11B,19.41,0.2,2.41,2.45,44.980.244,Fournitures de bureau,12777,2.61B
Soitec SA (SOIT),126,4.34B,39.03,2.12,3.35,N/A,33.176.479,Semi-conducteurs,1566,597.55M
Sopra Steria Group SA (SOPR),141.2,2.83B,19.88,1.4,7.01,2.40,20.271.782,Services informatiques,46603,6.6B
Spie SA (SPIE),15.68,2.44B,35.49,1.55,0.44,0.61,157.697.734,Services de construction,47446,10.01B
Sartorius Stedim Biotech SA (STDM),293,27.64B,108.42,0.35,2.77,0.34,92.180.190,Matériel médical et fournitures,6690,1.6B
Tarkett (TKTT),9.55,620.76M,N/A,1.21, - 0.51,N/A,65.550.281,Produits en plastique et en caoutchouc,12950,4.23B
Télévision Française 1 SA (TFFP),5.85,1.21B,14.1,0.92,0.41,0.50,210.242.074,Audiovisuel et télévision par câble,3202,2.08B
Trigano SA (TRIA),111.5,2.17B,13.45,1.11,8.36,2,19.280.200,Produits de loisirs,8735,2.35B
Vallourec SA (VLLP),20.67,229.65M,N/A,2.53, - 64.5,N/A,11.445.379,Puits de pétrole - services et équipement,17401,5.67B
Virbac SA (VIRB),200,1.65B,22.86,0.87,8.57,N/A,8.435.609,Biotechnologie et médicaments,4897,1.42B
Wendel (MWDP),84.1,3.52B,N/A,1.26, - 6.76,2.80,43.784.389,Services aux entreprises,130621,11.9B
