,firme,stock,book_to_market,price_to_sales,price_to_cash_flow,price_to_book,dividend_yield,g,payout_ratio,price,market_cap,price_to_earnings,beta,earnings_per_share,dividend,shares_outstanding,sector,employees,revenue,indices
30,Ipsos (ISOS),ISOS,23.6,0.51,10.07,0.92,2.07%,-19.1%,44.66%,21.65,956.14M,11.29,1.07,1.93,0.45,43.960.255,Services aux entreprises,18417,2.79B,cac mid 60
31,JC Decaux SA (JCDX),JCDX,8.87,1.22,3.46,1.81,-,1.18%,-,16.02,3.41B,22.1,1.3, - 0.4,0.58,212.902.810,Publicité,12076,4.46B,cac mid 60
32,Korian Medica SA (KORI),KORI,31.36,0.64,5.86,0.9,-,-,0%,32.7,2.55B,38.15,0.65,0.85,NaN,82.708.882,Healthcare Facilities,26336,5.45B,cac mid 60
33,La Francaise Des Jeux Sa (FDJ),FDJ,2.8,3.29,315.25,11.42,1.41%,-,237.99%,31.09,6.12B,69.88,,0.46,0.45,191.000.000,Casinos et jeux,2622,2.8B,cac mid 60
34,Lagardere SCA (LAGA),LAGA,7.51,0.35,3.33,2.03,-,-8.37%,-,17.39,1.97B,37.17,1.29, - 2.58,1.0,129.185.495,Impression et édition,26689,9.12B,cac mid 60
35,Metropole Television SA (MMTP),MMTP,7.49,1.07,29.65,1.47,-,5.57%,51.04%,11.3,1.38B,5.61,1.03,1.96,1.0,125.671.000,Audiovisuel et télévision par câble,2606,2.01B,cac mid 60
36,Maisons du Monde SAS (MDM),MDM,13.5,0.49,3.34,0.95,-,-,0%,13.27,581.06M,16.86,1.49,0.76,,45.148.771,Meubles et équipements,8628,1.77B,cac mid 60
37,Mercialys SA (MERY),MERY,6.97,2.36,8.1,0.69,19.64%,-3.59%,123.7%,5.42,443.72M,5.19,1.03,0.93,0.48,91.752.867,Opérations immobilières,111,283.86M,cac mid 60
38,Natixis (CNAT),CNAT,6.06,-,-,0.36,-,-,0%,2.18,6.79B,13.28,1.22,0.16,,3.151.102.683,Banques régionales,19639,11.9B,cac mid 60
39,Neoen SA (NEOEN),NEOEN,7.79,14.43,-,5.5,-,-,0%,43.95,3.64B,182.83,,0.23,,84.889.800,Fournisseurs d'électricité,213,253.2M,cac mid 60
40,Nexans SA (NEXS),NEXS,24.53,0.32,61.31,1.89,-,-,-,47.3,2B,7.67,1.65, - 1.41,0.40,43.138.921,Produits fabriqués (divers),25945,9.69B,cac mid 60
41,Nexity (NEXI),NEXI,29.87,0.4,11.51,0.97,6.91%,-5.9%,121.94%,30.08,1.6B,16.07,0.8,1.8,2.00,55.387.955,Services de construction,10989,5.81B,cac mid 60
42,Compagnie Plastic Omnium SA (PLOF),PLOF,11.9,0.45,44.43,1.82,2.26%,0%,-,22.12,3.16B,382.48,1.93, - 2.07,0.49,145.444.918,Pièces automobiles et de camions,23179,11.46B,cac mid 60
43,Rémy Cointreau (RCOP),RCOP,28.13,7.32,-,5.31,0.67%,-15.37%,46.96%,150.7,7.45B,78.02,0.16,1.92,1.00,49.849.721,Boissons (alcoolisées),1853,1.02B,cac mid 60
44,Rexel (RXL),RXL,12.21,0.26,11.53,0.9,-,-,-,11.48,3.32B,25.63,1.78, - 1.32,0.48,302.353.101,Instruments et commandes électroniques,22908,19.79B,cac mid 60
45,Robertet (ROBF),ROBF,197.61,4.23,68.44,5.18,0.49%,2.82%,21.78%,1.022,2.36B,44.58,0.34,22.97,5.00,2.308.095,Produits personnels et ménagers,1940,554.27M,cac mid 60
46,Rubis SCA (RUBF),RUBF,23.58,0.82,46.88,1.52,4.87%,9.31%,111.89%,38.7,3.72B,23.33,0.83,1.54,1.75,103.520.893,Activités pétrolières et gazières,3519,7.14B,cac mid 60
47,SEB SA (SEBF),SEBF,45.43,1.02,25.29,3.08,1.02%,-5.97%,25.4%,140.1,6.99B,24.9,1,5.62,1.43,49.939.417,Appareils et outils,33293,10.27B,cac mid 60
48,SES SA (SESFd),SESFd,13.28,1.42,6.01,0.46,5.6%,-36.69%,78.28%,6.27,2.79B,16.83,1.1,0.36,0.34,558.590.436,Services de communication,2159,2.94B,cac mid 60
49,Société BIC SA (BICP),BICP,30.84,1.21,36.73,1.52,5.23%,-10.78%,101.51%,47.82,2.11B,19.41,0.2,2.41,2.45,44.980.244,Fournitures de bureau,12777,2.61B,cac mid 60
50,Soitec SA (SOIT),SOIT,16.63,7.26,279.81,7.87,-,-,0%,126.0,4.34B,39.03,2.12,3.35,,33.176.479,Semi-conducteurs,1566,597.55M,cac mid 60
51,Sopra Steria Group SA (SOPR),SOPR,68.85,0.65,8.54,2.02,-,-,0%,141.2,2.83B,19.88,1.4,7.01,2.40,20.271.782,Services informatiques,46603,6.6B,cac mid 60
52,Spie SA (SPIE),SPIE,9.05,0.36,8.98,1.71,1.1%,-31.55%,0%,15.68,2.44B,35.49,1.55,0.44,0.61,157.697.734,Services de construction,47446,10.01B,cac mid 60
53,Sartorius Stedim Biotech SA (STDM),STDM,13.66,17.27,227.24,21.95,0.11%,-6.8%,24.47%,293.0,27.64B,108.42,0.35,2.77,0.34,92.180.190,Matériel médical et fournitures,6690,1.6B,cac mid 60
54,Tarkett (TKTT),TKTT,11.5,0.22,2.46,0.82,-,-,-,9.55,620.76M,15.59,1.21, - 0.51,,65.550.281,Produits en plastique et en caoutchouc,12950,4.23B,cac mid 60
55,Télévision Française 1 SA (TFFP),TFFP,7.56,0.58,20.38,0.76,-,-,122.38%,5.85,1.21B,14.1,0.92,0.41,0.50,210.242.074,Audiovisuel et télévision par câble,3202,2.08B,cac mid 60
56,Trigano SA (TRIA),TRIA,47.92,0.92,36.23,2.35,1.78%,25.99%,24.02%,111.5,2.17B,13.45,1.11,8.36,2,19.280.200,Produits de loisirs,8735,2.35B,cac mid 60
57,Vallourec SA (VLLP),VLLP,49.05,0.06,-,0.41,-,-,-,20.67,229.65M,9.48,2.53, - 64.5,,11.445.379,Puits de pétrole - services et équipement,17401,5.67B,cac mid 60
58,Virbac SA (VIRB),VIRB,64.97,1.74,15.25,3.01,-,-,0%,200.0,1.65B,22.86,0.87,8.57,,8.435.609,Biotechnologie et médicaments,4897,1.42B,cac mid 60
59,Wendel (MWDP),MWDP,49.98,0.46,4.78,1.61,3.48%,6.01%,-,84.1,3.52B,25.09,1.26, - 6.76,2.80,43.784.389,Services aux entreprises,130621,11.9B,cac mid 60
